ID;FORMA;DATA;QTD;CAT_OBJ;N_CAT;FORMA;REP_ACAO;FONTE;REFERENCIA;ENDERECO;LAT;LONG;CIDADE;BAIRRO
37;Moradores fecham a João Leopoldo Jacomel protesto pela falta de energia;05/12/2010;;Energia e gás;4;"Bloqueio de rodovia	";Fechamento de vias públicas;Banda B;MORADORES fecham a João Leopoldo Jacomel em protesto pela falta de energia. Banda B, Curitiba, 06 dez. 2010. Disponível em: <http://www.bandab.com.br/jornalismo/moradores-fecham-a-joao-leopoldo-jacomel-em-protesto-pela-falta-de-energia/>. Acesso em: 02 mai. 2014;Rodovia Deputado João Lepoldo Jacomel, 465 - Jardim Esmeralda, Piraquara - PR, 83301-366;-25,457026;-49,078755;Piraquara;Jardim Esmeralda
38;Sem-Teto entregam carta à prefeitura para solicitar moradias populares;13/03/2013;300;Moradia;11;Concentração e Passeata;Passeata;Gazeta do Povo;"ANIBAL, F; MAROS, A. Sem-teto entregam carta à prefeitura para solicitar moradias populares. Gazeta do Povo, Curitiba, 2013";Av. Cândido de Abreu, 817 - Centro Cívico, Curitiba - PR;-25,416971;-49,268765;Curitiba;Centro Cívico
39;Moradores interditam novamente a BR-277 pedindo passarela.;30/07/2010;100;Transporte, trânsito e circulação;19;Pneus queimados;Fechamento de vias públicas;Gazeta do Povo;"http://www.gazetadopovo.com.br/vida-e-cidadania/moradores-de-sjp-interditam-br-277-em-protesto-por-mais-seguranca-3o3q269nuitv4g75mfn57v4ge
";Estr. Curitiba Paranaguá, 8142 (BR 277 - km 72);-25,501627;-49,150329;São José dos Pinhais;Guatupê
40;Famílias dormem na rua em protesto contra Cohab;24/01/2013;100;Moradia;11;Acampamento em via pública;Fechamento de vias públicas;Gazeta do Povo;RODRIGUES, A. Famílias dormem na rua em protesto contra Cohab. Gazeta do Povo, Janeiro, 2013;Rua Clóvis Boving, 357;-25,580381;-49,334555;Curitiba;Tatuquara
41;Funcionários fazem protesto em colégio no Bacacheri;15/03/2010;;Trabalho e Direitos Trabalhistas;18;;;Gazeta do Povo;http://www.gazetadopovo.com.br/vida-e-cidadania/funcionarios-fazem-protesto-em-colegio-no-bacacheri-na-terca-e-a-vez-de-os-professores-pararem-epmwhjxakf10xi655ap90zadq;Rua Costa Rica, 233;-25,401490;-49,244167;Curitiba;Bacacheri
43;Ocupações estudantis em escolas públicas contra a reforma do ensino médio;07/10/2016;;Educação;3;Passeata, ocupação de escolas públicas;Ocupação de prédios ou terrenos;Brasil de Fato;HOSHINO, Camila. Crescem as ocupações de estudantes contra reformas do ensino médio. Jornal Brasil de Fato, Cidades, Curitiba, p. 4, 06 a 13 de outubro de 2016.;Rua Scharfenberg de Quadros, 666- Colégio Estadual Padre Arnaldo Jansen;-25,539010;-49,208085;São José dos Pinhais;Centro
49;CEP é ocupado, escolas ocupadas por alunos chegam a 30 no PR;07/10/2016;;Educação;3;Ocupação de escolas públicas;Ocupação de prédios ou terrenos;Gazeta do Povo;DENK, Eriksson. Alunos ocupam o Colégio Estadual do Paraná e outras 29 escolas no estado. Acessado em <http://www.gazetadopovo.com.br/educacao/alunos-ocupam-o-colegio-estadual-do-parana-e-outras-29-escolas-no-estado-dyfygzzf0zhg0ln00yxs4b9ao> às 19:30 de 15/10/2016;Av. João Gualberto, 250 - Centro, Curitiba - PR - Colégio Estadual do Paraná;-25,423744;-49,266331;Curitiba;Centro
52;700 escolas paradas por greve e ocupações;17/10/2016;;Trabalho e Direitos Trabalhistas;18;Ocupação de escolas públicas;Ocupação de prédios ou terrenos;Gazeta do Povo;ABDALLA, Sharon. Greve e ocupações fecham mais de 700 escolas no PR. Gazeta do Povo, Curitiba, 17/10/2016.;Rua João Valle, 23 - Santa Felicidade, Curitiba - PR (Colégio Estadual Ângelo Volpato);-25,397405;-49,318664;Curitiba;Santa Felicidade
53;Manifestantes fazem protesto contra Código Florestal ;18/05/2012;;Parques, jardins e florestas;13;Passeata;Passeata;Gazeta do Povo;BATISTA, Rodrigo. Manifestantes fazem protesto contra Código Florestal neste sábado. Gazeta do Povo, Curitiba, 18 mai 2012. Disponível em http://www.gazetadopovo.com.br/vida-publica/manifestantes-fazem-protesto-contra-codigo-florestal-neste-sabado-293odgpoov352vrwz2h3glmxa. Acesso em 25 ago 2017.; Rua Luiz Xavier 78;-25,432257;-49,274549;Curitiba;Centro
54;Crescem ocupações de estudantes contra a reforma do ensino médio;05/10/2016;;Educação;3;Manifestação em vias públicas;Passeata;Brasil de Fato;HOSHINO, Camila. Crescem ocupações de estudantes contra a reforma do ensino médio. Brasil de Fato, Curitiba, 06 a 13, outubro, 2016. Cidades, p. 4. ;Boca Maldita, Rua XV de novembro;-25,432284;-49,275261;Curitiba;Centro
